GeneID,Symbol
2023,ENO1
3006,HIST1H1C
10155,TRIM28
3151,HMGN2
468,ATF4
10856,RUVBL2
689,BTF3
1655,DDX5
8148,TAF15
166,AES
5441,POLR2L
8683,SRSF9
3148,HMGB2
3184,HNRNPD
8804,CREG1
84528,RHOXF2
1649,DDIT3
1958,EGR1
6749,SSRP1
11331,PHB2
4066,LYL1
6421,SFPQ
5436,POLR2G
4778,NFE2
3182,HNRNPAB
7812,CSDE1
1108,CHD4
6756,SSX1
3068,HDGF
10189,ALYREF
10657,KHDRBS1
1642,DDB1
8971,H1FX
3219,HOXB9
4173,MCM4
9124,PDLIM1
10589,DRAP1
284119,PTRF
7913,DEK
6881,TAF10
6880,TAF9
3087,HHEX
5036,PA2G4
9219,MTA2
8553,BHLHE40
3727,JUND
6426,SRSF1
10987,COPS5
5434,POLR2E
6921,TCEB1
7290,HIRA
26574,AATF
10661,KLF1
9049,AIP
5438,POLR2I
6917,TCEA1
5092,PCBD1
6879,TAF7
84232,MAF1
5411,PNN
1874,E2F4
2962,GTF2F1
4605,MYBL2
2063,NR2F6
5439,POLR2J
51728,POLR3K
9232,PTTG1
11100,HNRNPUL1
3281,HSBP1
9070,ASH2L
10473,HMGN4
1786,DNMT1
4175,MCM6
1487,CTBP1
6431,SRSF6
6015,RING1
25920,COBRA1
5356,PLRG1
2971,GTF3A
3017,HIST1H2BD
3280,HES1
30834,ZNRD1
5440,POLR2K
8841,HDAC3
8861,LDB1
6599,SMARCC1
9669,EIF5B
7251,TSG101
4779,NFE2L1
10923,SUB1
5089,PBX2
6830,SUPT6H
3093,UBE2K
5432,POLR2C
6294,SAFB
53615,MBD3
3399,ID3
10302,SNAPC5
8467,SMARCA5
64425,POLR1E
1810,DR1
6827,SUPT4H1
10914,PAPOLA
3212,HOXB2
56949,XAB2
8328,GFI1B
3726,JUNB
1059,CENPB
8625,RFXANK
10036,CHAF1A
6603,SMARCD2
9319,TRIP13
6601,SMARCC2
5430,POLR2A
8896,BUD31
51729,WBP11
8570,KHSRP
7392,USF2
7706,TRIM25
79724,ZNF768
5977,DPF2
10236,HNRNPR
5976,UPF1
10921,RNPS1
6632,SNRPD1
7428,VHL
51157,ZNF580
29777,ABT1
2146,EZH2
8349,HIST2H2BE
1051,CEBPB
4298,MLLT1
5970,RELA
678,ZFP36L2
1820,ARID3A
9667,SAFB2
2961,GTF2E2
6774,STAT3
7570,ZNF22
6722,SRF
22938,SNW1
2521,FUS
6778,STAT6
9785,DHX38
51282,SCAND1
2077,ERF
9646,CTR9
9031,BAZ1B
6945,MLX
4097,MAFG
8914,TIMELESS
11198,SUPT16H
26471,NUPR1
9774,BCLAF1
7572,ZNF24
8939,FUBP3
8089,YEATS4
1054,CEBPG
84844,PHF5A
8289,ARID1A
29883,CNOT7
23512,SUZ12
6597,SMARCA4
3214,HOXB4
4796,TONSL
9326,ZNHIT3
3054,HCFC1
6883,TAF12
22984,PDCD11
10915,TCERG1
9782,MATR3
7542,ZFPL1
55274,PHF10
25946,ZNF385A
2963,GTF2F2
5307,PITX1
8531,CSDA
51545,ZNF581
2118,ETV4
1877,E4F1
2967,GTF2H3
7376,NR1H2
10370,CITED2
3607,FOXK2
5073,PARN
6047,RNF4
91746,YTHDC1
7071,KLF10
10250,SRRM1
6433,SFSWAP
8805,TRIM24
4795,NFKBIL1
30827,CXXC1
3059,HCLS1
8819,SAP30
7555,CNBP
6688,SPI1
8347,HIST1H2BC
7528,YY1
4848,CNOT2
6602,SMARCD1
57798,GATAD1
83855,KLF16
84838,ZNF496
7024,TFCP2
7343,UBTF
80829,ZFP91
51547,SIRT7
79039,DDX54
8242,KDM5C
56731,SLC2A4RG
863,CBFA2T3
6618,SNAPC2
29855,UBN1
90780,PYGO2
84450,ZNF512
10664,CTCF
9044,BTAF1
6929,TCF3
51043,ZBTB7B
79142,PHF23
